# Q2 z GE_fit_SBS GE_fit_rat_SBS dGEGD_SBS GM_fit_SBS GM_fit_rat_SBS dGMGD_SBS GEGM_fit_rat_SBS dGEGM_SBS
1.3489628826e-06 -5.1919234927e-01 9.9999591709e-01 9.9999971698e-01 1.4745902282e-07 2.7928356777e+00 9.9999961839e-01 2.8914913600e-07 1.0000000986e+00 3.2457893208e-07
1.3645831366e-06 -5.1919231266e-01 9.9999586981e-01 9.9999971370e-01 1.4915878693e-07 2.7928355425e+00 9.9999961397e-01 2.9248301735e-07 1.0000000997e+00 3.2832112245e-07
1.3803842646e-06 -5.1919227563e-01 9.9999582199e-01 9.9999971038e-01 1.5088030020e-07 2.7928354057e+00 9.9999960950e-01 2.9585955461e-07 1.0000001009e+00 3.3211119350e-07
1.3963683611e-06 -5.1919223817e-01 9.9999577361e-01 9.9999970703e-01 1.5262355876e-07 2.7928352673e+00 9.9999960498e-01 2.9927874181e-07 1.0000001021e+00 3.3594913817e-07
1.4125375446e-06 -5.1919220028e-01 9.9999572467e-01 9.9999970364e-01 1.5437755979e-07 2.7928351273e+00 9.9999960040e-01 3.0271906203e-07 1.0000001032e+00 3.3981078954e-07
1.4288939585e-06 -5.1919216195e-01 9.9999567516e-01 9.9999970020e-01 1.5616429776e-07 2.7928349857e+00 9.9999959578e-01 3.0622353179e-07 1.0000001044e+00 3.4374446094e-07
1.4454397707e-06 -5.1919212317e-01 9.9999562509e-01 9.9999969673e-01 1.5796177119e-07 2.7928348425e+00 9.9999959110e-01 3.0974912393e-07 1.0000001056e+00 3.4770182639e-07
1.4621771745e-06 -5.1919208395e-01 9.9999557443e-01 9.9999969322e-01 1.5979197296e-07 2.7928346976e+00 9.9999958636e-01 3.1333885207e-07 1.0000001069e+00 3.5173119590e-07
1.4791083882e-06 -5.1919204427e-01 9.9999552318e-01 9.9999968967e-01 1.6163290315e-07 2.7928345510e+00 9.9999958157e-01 3.1694969188e-07 1.0000001081e+00 3.5578424672e-07
1.4962356561e-06 -5.1919200413e-01 9.9999547134e-01 9.9999968608e-01 1.6349555598e-07 2.7928344028e+00 9.9999957673e-01 3.2060314675e-07 1.0000001093e+00 3.5988512980e-07
1.5135612484e-06 -5.1919196353e-01 9.9999541890e-01 9.9999968244e-01 1.6539092410e-07 2.7928342528e+00 9.9999957183e-01 3.2432071716e-07 1.0000001106e+00 3.6405799280e-07
1.5310874617e-06 -5.1919192245e-01 9.9999536586e-01 9.9999967876e-01 1.6729700992e-07 2.7928341010e+00 9.9999956687e-01 3.2805938301e-07 1.0000001119e+00 3.6825451778e-07
1.5488166189e-06 -5.1919188090e-01 9.9999531220e-01 9.9999967504e-01 1.6922480641e-07 2.7928339476e+00 9.9999956185e-01 3.3184064547e-07 1.0000001132e+00 3.7249885317e-07
1.5667510701e-06 -5.1919183887e-01 9.9999525791e-01 9.9999967128e-01 1.7118530499e-07 2.7928337923e+00 9.9999955678e-01 3.3568600283e-07 1.0000001145e+00 3.7681514408e-07
1.5848931925e-06 -5.1919179636e-01 9.9999520300e-01 9.9999966747e-01 1.7315651037e-07 2.7928336352e+00 9.9999955165e-01 3.3955243921e-07 1.0000001158e+00 3.8115507741e-07
1.6032453907e-06 -5.1919175335e-01 9.9999514746e-01 9.9999966362e-01 1.7514941429e-07 2.7928334764e+00 9.9999954646e-01 3.4346145357e-07 1.0000001172e+00 3.8554279904e-07
1.6218100974e-06 -5.1919170984e-01 9.9999509127e-01 9.9999965973e-01 1.7717500691e-07 2.7928333156e+00 9.9999954120e-01 3.4743454198e-07 1.0000001185e+00 3.9000245156e-07
1.6405897732e-06 -5.1919166583e-01 9.9999503443e-01 9.9999965579e-01 1.7922228911e-07 2.7928331531e+00 9.9999953589e-01 3.5145019441e-07 1.0000001199e+00 3.9450987585e-07
1.6595869074e-06 -5.1919162131e-01 9.9999497693e-01 9.9999965180e-01 1.8129125674e-07 2.7928329886e+00 9.9999953052e-01 3.5550840455e-07 1.0000001213e+00 3.9906506445e-07
1.6788040181e-06 -5.1919157627e-01 9.9999491876e-01 9.9999964777e-01 1.8338190568e-07 2.7928328222e+00 9.9999952508e-01 3.5960916607e-07 1.0000001227e+00 4.0366800983e-07
1.6982436525e-06 -5.1919153072e-01 9.9999485993e-01 9.9999964369e-01 1.8549423174e-07 2.7928326539e+00 9.9999951958e-01 3.6375247263e-07 1.0000001241e+00 4.0831870444e-07
1.7179083872e-06 -5.1919148463e-01 9.9999480041e-01 9.9999963957e-01 1.8763922303e-07 2.7928324837e+00 9.9999951402e-01 3.6795981662e-07 1.0000001255e+00 4.1304128666e-07
1.7378008287e-06 -5.1919143801e-01 9.9999474020e-01 9.9999963539e-01 1.8980588226e-07 2.7928323115e+00 9.9999950839e-01 3.7220969145e-07 1.0000001270e+00 4.1781160129e-07
1.7579236140e-06 -5.1919139086e-01 9.9999467929e-01 9.9999963117e-01 1.9199420521e-07 2.7928321373e+00 9.9999950270e-01 3.7650209069e-07 1.0000001285e+00 4.2262964071e-07
1.7782794100e-06 -5.1919134315e-01 9.9999461768e-01 9.9999962690e-01 1.9421517871e-07 2.7928319611e+00 9.9999949694e-01 3.8085850452e-07 1.0000001300e+00 4.2751954072e-07
