Q2,GMn/muGD,dGMn/muGD
1e-06,0.9999996247226515,0.019640481770707204
1.0116e-06,0.9999996203692733,0.019640477148142516
1.0233e-06,0.9999996159783621,0.01964047248573004
1.0351e-06,0.9999996115499179,0.01964046778346977
1.0471e-06,0.9999996070464117,0.019640463001512176
1.0593e-06,0.9999996024678429,0.019640458139857365
1.0715e-06,0.9999995978892695,0.019640453278204583
1.0839e-06,0.9999995932356343,0.01964044833685467
1.0965e-06,0.9999995885069354,0.019640443315807807
1.1092e-06,0.9999995837407031,0.019640438254913538
1.122e-06,0.9999995789369364,0.01964043315417195
1.135e-06,0.9999995740581071,0.01964042797373367
1.1482e-06,0.9999995691042133,0.019640422713598688
1.1614e-06,0.9999995641503154,0.019640417453466105
1.1749e-06,0.9999995590838235,0.019640412073787583
1.1885e-06,0.9999995539797967,0.019640406654262074
1.2023e-06,0.9999995488007065,0.01964040115504039
1.2162e-06,0.9999995435840806,0.01964039561597186
1.2303e-06,0.9999995382923899,0.01964038999720725
1.2445e-06,0.9999995329631644,0.01964038433859607
1.2589e-06,0.9999995275588734,0.019640378600288937
1.2735e-06,0.9999995220795171,0.019640372782286048
1.2882e-06,0.9999995165626251,0.01964036692443679
1.3032e-06,0.9999995109331374,0.019640360947042693
1.3183e-06,0.999999505266113,0.019640354929802453
1.3335e-06,0.9999994995615529,0.01964034887271609
1.349e-06,0.9999994937443961,0.019640342696085323
1.3646e-06,0.9999994878897026,0.019640336479608635
1.3804e-06,0.9999994819599421,0.019640330183437
1.3964e-06,0.9999994759551144,0.01964032380757051
1.4125e-06,0.9999994699127495,0.0196403173918584
1.4289e-06,0.9999994637577869,0.019640310856602613
1.4454e-06,0.9999994575652863,0.019640304281501434
1.4622e-06,0.9999994512601869,0.019640297586856807
1.4791e-06,0.9999994449175494,0.01964029085236708
1.4962e-06,0.999999438499843,0.01964028403818323
1.5136e-06,0.9999994319695376,0.019640277104456517
1.5311e-06,0.9999994254016931,0.019640270130884995
1.5488e-06,0.999999418758779,0.019640263077619857
1.5668e-06,0.9999994120032637,0.01964025590481221
1.5849e-06,0.9999994052102095,0.01964024869216026
1.6032e-06,0.9999993983420846,0.019640241399815055
1.6218e-06,0.999999391361358,0.019640233987927986
1.6406e-06,0.9999993843055599,0.019640226496348032
1.6596e-06,0.9999993771746909,0.019640218925075458
1.6788e-06,0.9999993699687494,0.019640211274110298
1.6982e-06,0.9999993626877363,0.019640203543452812
1.7179e-06,0.9999993552941192,0.01964019569325438
1.7378e-06,0.9999993478254292,0.01964018776336398
1.7579e-06,0.9999993402816663,0.01964017975378177
1.7783e-06,0.9999993326252984,0.01964017162465924
1.7989e-06,0.9999993248938563,0.019640163415845246
1.8197e-06,0.9999993170873402,0.019640155127340075
1.8408e-06,0.9999993091682177,0.019640146719295225
1.8621e-06,0.9999993011740202,0.019640138231559537
1.8836e-06,0.999999293104747,0.019640129664133164
1.9055e-06,0.999999284885335,0.019640120937319403
1.9275e-06,0.9999992766283784,0.0196401121706639
1.9498e-06,0.9999992682588126,0.0196401032844699
1.9724e-06,0.9999992597766387,0.01964009427873771
1.9953e-06,0.999999251181855,0.019640085153467587
2.0184e-06,0.9999992425119929,0.019640075948508206
2.0417e-06,0.9999992337670524,0.019640066663859687
2.0654e-06,0.9999992248719685,0.019640057219825716
2.0893e-06,0.9999992159018055,0.01964004769610317
2.1135e-06,0.99999920681903,0.01964003805284404
2.138e-06,0.9999991976236416,0.019640028290048607
2.1627e-06,0.9999991883531723,0.019640018447565334
2.1878e-06,0.9999991789325569,0.019640008445698305
2.2131e-06,0.9999991694368593,0.019639998364143898
2.2387e-06,0.9999991598285468,0.019639988163054435
2.2646e-06,0.9999991501076183,0.019639977842430146
2.2909e-06,0.999999140236541,0.01963996736242354
2.3174e-06,0.9999991302903792,0.019639956802730736
2.3442e-06,0.9999991202315994,0.019639946123504063
2.3714e-06,0.9999991100226686,0.01963993528489617
2.3988e-06,0.9999990997386518,0.019639924366602994
2.4266e-06,0.9999990893044826,0.019639913288929303
2.4547e-06,0.9999990787576922,0.01963990209172324
2.4831e-06,0.9999990680982809,0.019639890774985177
2.5119e-06,0.9999990572887149,0.019639879298867808
2.541e-06,0.9999990463665256,0.019639867703219228
2.5704e-06,0.9999990353317131,0.01963985598803985
2.6002e-06,0.9999990241467422,0.019639844113482404
2.6303e-06,0.9999990128491468,0.019639832119394955
2.6607e-06,0.9999990014389254,0.019639820005777825
2.6915e-06,0.999998989878544,0.019639807732784068
2.7227e-06,0.9999989781680007,0.01963979530041418
2.7542e-06,0.9999989663448291,0.01963978274851596
2.7861e-06,0.9999989543714948,0.019639770037242543
2.8184e-06,0.9999989422479952,0.019639757166594458
2.851e-06,0.9999989300118648,0.01963974417641941
2.884e-06,0.9999989176255681,0.019639731026870694
2.9174e-06,0.9999989050891045,0.019639717717948865
2.9512e-06,0.9999988924024724,0.0196397042496545
2.9854e-06,0.9999988795656699,0.019639690621988094
3.02e-06,0.9999988665786973,0.019639676834950305
3.0549e-06,0.9999988534790879,0.019639662928388528
3.0903e-06,0.9999988401917707,0.019639648822609563
3.1261e-06,0.9999988267542788,0.019639634557460876
3.1623e-06,0.9999988131666119,0.019639620132943125
3.1989e-06,0.9999987994287689,0.0196396055490569
3.2359e-06,0.9999987855407476,0.01963959080580278
3.2734e-06,0.9999987714650123,0.01963957586333481
3.3113e-06,0.9999987572390961,0.019639560761500335
3.3497e-06,0.9999987428254636,0.019639545460453513
3.3884e-06,0.9999987282991828,0.019639530039887873
3.4277e-06,0.9999987135476467,0.019639514380264955
3.4674e-06,0.9999986986459252,0.019639498561278286
3.5075e-06,0.9999986835940158,0.01963948258292853
3.5481e-06,0.999998668354382,0.019639466405370124
3.5892e-06,0.999998652927022,0.01963945002860399
3.6308e-06,0.9999986373119337,0.01963943345263091
3.6728e-06,0.9999986215466523,0.01963941671729781
3.7154e-06,0.9999986055561034,0.019639399742913496
3.7584e-06,0.9999985894153576,0.01963938260917069
3.8019e-06,0.9999985730868777,0.019639365276224462
3.8459e-06,0.999998556570661,0.019639347744075584
3.8905e-06,0.9999985398291691,0.019639329972879337
3.9355e-06,0.9999985229374733,0.019639312042328008
3.9811e-06,0.9999985058204987,0.019639293872731348
4.0272e-06,0.9999984885157795,0.019639275503935853
4.0738e-06,0.999998471023315,0.019639256935942595
4.121e-06,0.999998453305565,0.019639238128907128
4.1687e-06,0.9999984354000645,0.0196392191226759
4.217e-06,0.9999984172692735,0.019639199877404673
4.2658e-06,0.9999983989507287,0.019639180432939864
4.3152e-06,0.9999983804068896,0.019639160749437383
4.3652e-06,0.999998361637753,0.019639140826898365
4.4157e-06,0.9999983426808553,0.01963912070516913
4.4668e-06,0.9999983234986561,0.01963910034440582
4.5186e-06,0.9999983040536141,0.019639079704764778
4.5709e-06,0.999998284420804,0.019639058865937163
4.6238e-06,0.9999982645626845,0.01963903778807928
4.6774e-06,0.9999982444417135,0.019639016431347883
4.7315e-06,0.9999982241329677,0.0196389948754336
4.7863e-06,0.9999982035613646,0.019638973040648596
4.8417e-06,0.9999981827644412,0.01963895096683881
4.8978e-06,0.9999981617046549,0.019638928614161506
4.9545e-06,0.9999981404195427,0.019638906022462297
5.0119e-06,0.9999981188715615,0.019638883151898618
5.0699e-06,0.9999980970982479,0.01963886004231617
5.1286e-06,0.9999980750620594,0.019638836653872335
5.188e-06,0.9999980527629919,0.019638812986568926
5.2481e-06,0.9999980302010428,0.019638789040407636
5.3088e-06,0.9999980074137489,0.019638764855233942
5.3703e-06,0.9999979843260247,0.019638740351361983
5.4325e-06,0.9999979609754078,0.01963871556863748
5.4954e-06,0.9999979373618954,0.019638690507062188
