##        Q2         GEp/GD        dGEp/GD    GEp/GD(all)       GMp/muGD      dGMp/muGD dGMp/muGD(all)     GEp/GD(Mz)   GMp/muGD(Mz)
  1.6218e-06   9.999997e-01   2.941299e-07   9.999997e-01   9.999995e-01   4.281144e-07   9.999995e-01   9.999997e-01   9.999995e-01
  1.6406e-06   9.999996e-01   2.975356e-07   9.999996e-01   9.999995e-01   4.330715e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.6596e-06   9.999996e-01   3.009807e-07   9.999996e-01   9.999995e-01   4.380860e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.6788e-06   9.999996e-01   3.044657e-07   9.999996e-01   9.999995e-01   4.431585e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.6982e-06   9.999996e-01   3.079910e-07   9.999996e-01   9.999995e-01   4.482898e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.7179e-06   9.999996e-01   3.115572e-07   9.999996e-01   9.999995e-01   4.534805e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.7378e-06   9.999996e-01   3.151646e-07   9.999996e-01   9.999995e-01   4.587312e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.7579e-06   9.999996e-01   3.188139e-07   9.999996e-01   9.999995e-01   4.640428e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.7783e-06   9.999996e-01   3.225054e-07   9.999996e-01   9.999995e-01   4.694158e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.7989e-06   9.999996e-01   3.262396e-07   9.999996e-01   9.999995e-01   4.748511e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.8197e-06   9.999996e-01   3.300170e-07   9.999996e-01   9.999995e-01   4.803493e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.8408e-06   9.999996e-01   3.338382e-07   9.999996e-01   9.999995e-01   4.859112e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.8621e-06   9.999996e-01   3.377036e-07   9.999996e-01   9.999995e-01   4.915374e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.8836e-06   9.999996e-01   3.416138e-07   9.999996e-01   9.999995e-01   4.972288e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.9055e-06   9.999996e-01   3.455693e-07   9.999996e-01   9.999995e-01   5.029861e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.9275e-06   9.999996e-01   3.495705e-07   9.999996e-01   9.999995e-01   5.088101e-07   9.999995e-01   9.999996e-01   9.999995e-01
  1.9498e-06   9.999996e-01   3.536181e-07   9.999996e-01   9.999994e-01   5.147015e-07   9.999994e-01   9.999996e-01   9.999994e-01
  1.9724e-06   9.999996e-01   3.577125e-07   9.999996e-01   9.999994e-01   5.206611e-07   9.999994e-01   9.999996e-01   9.999994e-01
  1.9953e-06   9.999996e-01   3.618544e-07   9.999996e-01   9.999994e-01   5.266897e-07   9.999994e-01   9.999996e-01   9.999994e-01
  2.0184e-06   9.999996e-01   3.660442e-07   9.999996e-01   9.999994e-01   5.327880e-07   9.999994e-01   9.999996e-01   9.999994e-01
  2.0417e-06   9.999996e-01   3.702825e-07   9.999996e-01   9.999994e-01   5.389570e-07   9.999994e-01   9.999996e-01   9.999994e-01
  2.0654e-06   9.999996e-01   3.745699e-07   9.999996e-01   9.999994e-01   5.451975e-07   9.999994e-01   9.999996e-01   9.999994e-01
  2.0893e-06   9.999996e-01   3.789069e-07   9.999996e-01   9.999994e-01   5.515101e-07   9.999994e-01   9.999996e-01   9.999994e-01
  2.1135e-06   9.999995e-01   3.832941e-07   9.999995e-01   9.999994e-01   5.578959e-07   9.999994e-01   9.999995e-01   9.999994e-01
  2.1380e-06   9.999995e-01   3.877321e-07   9.999995e-01   9.999994e-01   5.643556e-07   9.999994e-01   9.999995e-01   9.999994e-01
  2.1627e-06   9.999995e-01   3.922216e-07   9.999995e-01   9.999994e-01   5.708901e-07   9.999994e-01   9.999995e-01   9.999994e-01
  2.1878e-06   9.999995e-01   3.967629e-07   9.999995e-01   9.999994e-01   5.775002e-07   9.999994e-01   9.999995e-01   9.999994e-01
  2.2131e-06   9.999995e-01   4.013569e-07   9.999995e-01   9.999994e-01   5.841869e-07   9.999994e-01   9.999995e-01   9.999994e-01
