1000.0 0.0779191396 -0.7 -0.5191955106390916
[0.04913518162312339, -0.06162735965873362, -0.24026528217933893, 0.3446341130679157, 0.273271834676328, -0.34077386750180666, -0.16425024746728856, -0.26566285234772447, 0.36320041292307675, 0.13683187184139287, 0.1705474253132888, 0.7480338960325668, -2.6968927234426516, 2.3174919029592758, -0.6336743058394028]
1e-06 -0.5191931670796172 4.96258268064707e-07 1.2923790876942984e-08 0.9999971831045426
1.0115794542598983e-06 -0.5191931399426081 5.020046300864241e-07 1.3073434609206552e-08 0.9999971504865002
1.0232929922807537e-06 -0.5191931124913698 5.078175310755382e-07 1.3224810981473788e-08 0.9999971174907605
1.035142166679343e-06 -0.5191930847222647 5.136977412980751e-07 1.3377940048285345e-08 0.9999970841129496
1.0471285480508985e-06 -0.5191930566316114 5.196460402661913e-07 1.3532842103674939e-08 0.9999970503486434
1.0592537251772898e-06 -0.5191930282156871 5.25663216314169e-07 1.3689537672497238e-08 0.9999970161933671
1.071519305237607e-06 -0.5191929994707251 5.317500670449046e-07 1.3848047521029808e-08 0.9999969816425924
1.083926914021204e-06 -0.5191929703929156 5.379073991681452e-07 1.4008392651802187e-08 0.9999969466917413
1.096478196143185e-06 -0.5191929409784044 5.441360288458211e-07 1.4170594312466424e-08 0.99999691133618
1.109174815262401e-06 -0.5191929112232928 5.504367816090499e-07 1.433467399758427e-08 0.9999968755712224
1.122018454301963e-06 -0.5191928811236369 5.568104925643245e-07 1.4500653448060986e-08 0.999996839392128
1.1350108156723143e-06 -0.5191928506754472 5.63258006578397e-07 1.4668554658860123e-08 0.9999968027941012
1.1481536214968817e-06 -0.519192819874688 5.697801781191986e-07 1.4838399877189825e-08 0.9999967657722917
1.1614486138403438e-06 -0.5191927887172765 5.763778717720968e-07 1.5010211611334784e-08 0.9999967283217917
1.1748975549395304e-06 -0.5191927571990833 5.83051961901637e-07 1.5184012625349327e-08 0.9999966904376378
1.1885022274370189e-06 -0.5191927253159307 5.898033332144746e-07 1.5359825950312883e-08 0.9999966521148078
1.2022644346174132e-06 -0.5191926930635927 5.966328804777666e-07 1.553767488355361e-08 0.999996613348223
1.2161860006463678e-06 -0.5191926604377946 6.035415089524458e-07 1.5717582991837896e-08 0.9999965741327446
1.2302687708123811e-06 -0.519192627434212 6.10530134290737e-07 1.5899574109667414e-08 0.999996534463174
1.2445146117713843e-06 -0.5191925940484705 6.175996827431987e-07 1.6083672356982047e-08 0.9999964943342545
1.2589254117941661e-06 -0.5191925602761447 6.247510914380813e-07 1.626990212657881e-08 0.9999964537406664
1.2735030810166629e-06 -0.5191925261127587 6.31985308119411e-07 1.6458288094541748e-08 0.9999964126770292
1.288249551693135e-06 -0.519192491553784 6.393032917356711e-07 1.6648855223253863e-08 0.9999963711378997
1.3031667784523e-06 -0.5191924565946402 6.467060121699304e-07 1.6841628761991375e-08 0.9999963291177729
1.3182567385564074e-06 -0.5191924212306935 6.541944506077669e-07 1.7036634255776628e-08 0.9999962866110784
1.333521432163324e-06 -0.5191923854572571 6.617695995509972e-07 1.723389754283417e-08 0.9999962436121825
1.3489628825916533e-06 -0.5191923492695889 6.69432463068384e-07 1.7433444760032394e-08 0.9999962001153854
1.3645831365889239e-06 -0.5191923126628928 6.771840567756736e-07 1.7635302349181205e-08 0.999996156114922
1.3803842646028838e-06 -0.5191922756323164 6.850254081428047e-07 1.7839497057354452e-08 0.9999961116049607
1.3963683610559361e-06 -0.519192238172952 6.929575564126335e-07 1.8046055940067836e-08 0.999996066579601
1.4125375446227554e-06 -0.5191922002798343 7.009815529714601e-07 1.8255006365114448e-08 0.9999960210328753
1.4288939585111036e-06 -0.5191921619479409 7.090984612916063e-07 1.8466376019244604e-08 0.9999959749587464
1.445439770745928e-06 -0.5191921231721911 7.173093572481653e-07 1.8680192909219483e-08 0.9999959283511078
1.4621771744567182e-06 -0.5191920839474455 7.256153290842123e-07 1.889648536453744e-08 0.9999958812037816
1.479108388168207e-06 -0.5191920442685053 7.340174776752825e-07 1.9115282044997077e-08 0.9999958335105181
