##        Q2         GEp/GD        dGEp/GD    GEp/GD(all)       GMp/muGD      dGMp/muGD dGMp/muGD(all)     GEp/GD(Mz)   GMp/muGD(Mz)
  1.6218e-06   9.999992e-01   2.785577e-07   9.999992e-01   9.999995e-01   3.801751e-07   9.999995e-01   9.999992e-01   9.999995e-01
  1.6406e-06   9.999992e-01   2.817831e-07   9.999992e-01   9.999995e-01   3.845771e-07   9.999995e-01   9.999992e-01   9.999995e-01
  1.6596e-06   9.999992e-01   2.850459e-07   9.999992e-01   9.999995e-01   3.890301e-07   9.999995e-01   9.999992e-01   9.999995e-01
  1.6788e-06   9.999992e-01   2.883464e-07   9.999992e-01   9.999995e-01   3.935346e-07   9.999995e-01   9.999992e-01   9.999995e-01
  1.6982e-06   9.999992e-01   2.916851e-07   9.999992e-01   9.999995e-01   3.980912e-07   9.999995e-01   9.999992e-01   9.999995e-01
  1.7179e-06   9.999992e-01   2.950625e-07   9.999992e-01   9.999995e-01   4.027007e-07   9.999995e-01   9.999992e-01   9.999995e-01
  1.7378e-06   9.999991e-01   2.984790e-07   9.999991e-01   9.999995e-01   4.073635e-07   9.999995e-01   9.999991e-01   9.999995e-01
  1.7579e-06   9.999991e-01   3.019350e-07   9.999991e-01   9.999995e-01   4.120802e-07   9.999995e-01   9.999991e-01   9.999995e-01
  1.7783e-06   9.999991e-01   3.054311e-07   9.999991e-01   9.999995e-01   4.168516e-07   9.999995e-01   9.999991e-01   9.999995e-01
  1.7989e-06   9.999991e-01   3.089676e-07   9.999991e-01   9.999995e-01   4.216783e-07   9.999995e-01   9.999991e-01   9.999995e-01
  1.8197e-06   9.999991e-01   3.125451e-07   9.999991e-01   9.999995e-01   4.265608e-07   9.999995e-01   9.999991e-01   9.999995e-01
  1.8408e-06   9.999991e-01   3.161640e-07   9.999991e-01   9.999995e-01   4.314998e-07   9.999995e-01   9.999991e-01   9.999995e-01
  1.8621e-06   9.999991e-01   3.198248e-07   9.999991e-01   9.999995e-01   4.364961e-07   9.999995e-01   9.999991e-01   9.999995e-01
  1.8836e-06   9.999991e-01   3.235280e-07   9.999991e-01   9.999995e-01   4.415501e-07   9.999995e-01   9.999991e-01   9.999995e-01
  1.9055e-06   9.999991e-01   3.272740e-07   9.999991e-01   9.999995e-01   4.466627e-07   9.999995e-01   9.999991e-01   9.999995e-01
  1.9275e-06   9.999991e-01   3.310635e-07   9.999991e-01   9.999995e-01   4.518345e-07   9.999995e-01   9.999991e-01   9.999995e-01
  1.9498e-06   9.999990e-01   3.348968e-07   9.999990e-01   9.999994e-01   4.570662e-07   9.999994e-01   9.999990e-01   9.999994e-01
  1.9724e-06   9.999990e-01   3.387745e-07   9.999990e-01   9.999994e-01   4.623584e-07   9.999994e-01   9.999990e-01   9.999994e-01
  1.9953e-06   9.999990e-01   3.426971e-07   9.999990e-01   9.999994e-01   4.677119e-07   9.999994e-01   9.999990e-01   9.999994e-01
