!      E0    Theta      Q^2          Sig     dSig_tot TPE(Blun) TPE(Fesh) idat      Norm TPE(extra)
  199.60    80.00   0.0560   3.4240E+02   4.9910E+00   1.0077   1.0090   29     0.035   0.0000
  199.60    90.00   0.0657   2.0470E+02   2.9960E+00   1.0085   1.0095   29     0.035   0.0000
  199.60   100.00   0.0748   1.2960E+02   1.6930E+00   1.0094   1.0099   29     0.035   0.0000
  199.60   105.00   0.0791   1.0410E+02   1.4970E+00   1.0099   1.0101   29     0.035   0.0000
  199.60   110.00   0.0832   8.5500E+01   9.9880E-01   1.0104   1.0103   29     0.035   0.0000
  199.60   115.00   0.0870   7.1350E+01   8.9810E-01   1.0109   1.0105   29     0.035   0.0000
  199.60   120.00   0.0906   6.1230E+01   6.9690E-01   1.0114   1.0106   29     0.035   0.0000
  199.60   130.00   0.0970   4.5690E+01   2.9930E-01   1.0125   1.0109   29     0.035   0.0000
  199.60   140.00   0.1023   3.5800E+01   3.9890E-01   1.0135   1.0111   29     0.035   0.0000
  228.90    28.00   0.0119   2.4480E+04   4.9960E+02   1.0039   1.0045   29     0.035   0.0000
  228.90    40.00   0.0232   5.4590E+03   6.9980E+01   1.0048   1.0058   29     0.035   0.0000
  228.90    45.00   0.0287   3.2230E+03   3.9910E+01   1.0051   1.0063   29     0.035   0.0000
  228.90    50.00   0.0344   2.0330E+03   1.9930E+01   1.0054   1.0068   29     0.035   0.0000
  228.90    55.00   0.0405   1.3070E+03   1.4980E+01   1.0057   1.0072   29     0.035   0.0000
  228.90    60.00   0.0467   8.9570E+02   7.9970E+00   1.0060   1.0076   29     0.035   0.0000
  228.90    70.00   0.0594   4.5160E+02   3.9870E+00   1.0065   1.0084   29     0.035   0.0000
  228.90    75.00   0.0658   3.3160E+02   2.9870E+00   1.0068   1.0087   29     0.035   0.0000
  228.90    80.00   0.0721   2.4950E+02   2.9940E+00   1.0072   1.0090   29     0.035   0.0000
  228.90    90.00   0.0842   1.4870E+02   2.0960E+00   1.0078   1.0095   29     0.035   0.0000
  228.90   110.00   0.1059   6.3690E+01   8.9850E-01   1.0094   1.0103   29     0.035   0.0000
  228.90   120.00   0.1151   4.5670E+01   5.9710E-01   1.0102   1.0106   29     0.035   0.0000
  228.90   130.00   0.1229   3.5000E+01   4.9860E-01   1.0110   1.0109   29     0.035   0.0000
  228.90   140.00   0.1293   2.8510E+01   3.9870E-01   1.0118   1.0111   29     0.035   0.0000
  249.60    28.00   0.0141   2.0390E+04   3.9980E+02   1.0038   1.0045   29     0.035   0.0000
  249.60    35.00   0.0215   7.9700E+03   9.0000E+01   1.0043   1.0053   29     0.035   0.0000
  249.60    40.00   0.0274   4.5090E+03   5.9980E+01   1.0047   1.0058   29     0.035   0.0000
  249.60    45.00   0.0339   2.6840E+03   2.9930E+01   1.0049   1.0063   29     0.035   0.0000
  249.60    50.00   0.0407   1.6640E+03   2.2910E+01   1.0052   1.0068   29     0.035   0.0000
  249.60    55.00   0.0477   1.0880E+03   1.4970E+01   1.0054   1.0072   29     0.035   0.0000
  249.60    60.00   0.0550   7.4060E+02   8.9950E+00   1.0057   1.0076   29     0.035   0.0000
  249.60    65.00   0.0624   5.2140E+02   6.9910E+00   1.0059   1.0080   29     0.035   0.0000
  249.60    70.00   0.0698   3.6770E+02   3.9860E+00   1.0062   1.0084   29     0.035   0.0000
  249.60    75.00   0.0771   2.7180E+02   3.9820E+00   1.0064   1.0087   29     0.035   0.0000
  249.60    80.00   0.0844   1.9730E+02   2.9930E+00   1.0067   1.0090   29     0.035   0.0000
  249.60    90.00   0.0984   1.1940E+02   1.7960E+00   1.0073   1.0095   29     0.035   0.0000
  249.60   100.00   0.1114   7.5620E+01   1.2940E+00   1.0079   1.0099   29     0.035   0.0000
  249.60   110.00   0.1232   5.2000E+01   8.9820E-01   1.0086   1.0103   29     0.035   0.0000
  249.60   120.00   0.1336   3.7200E+01   5.9690E-01   1.0093   1.0106   29     0.035   0.0000
  249.60   130.00   0.1424   2.8810E+01   3.9870E-01   1.0099   1.0109   29     0.035   0.0000
  249.60   140.00   0.1497   2.3920E+01   3.9860E-01   1.0105   1.0111   29     0.035   0.0000
  275.30    35.00   0.0260   6.4300E+03   7.0000E+01   1.0042   1.0053   29     0.035   0.0000
  275.30    40.00   0.0332   3.5890E+03   3.9990E+01   1.0044   1.0058   29     0.035   0.0000
